Tree 0
76 None None
59 30 16
30 None 47
47 None None
16 None 34
34 61 71
61 None None
71 None 70
70 54 None
54 None 35
35 None 53
53 None None
Tree 7
46 43 30
43 66 28
66 71 None
71 None None
28 55 26
55 53 0
53 None None
0 None None
26 10 None
10 58 70
58 None None
70 None 25
25 None 53
53 None None
30 88 None
88 9 59
9 None 24
24 None 56
56 None 17
17 None 29
29 None None
59 54 7
54 None 43
43 None None
7 None None
Tree 8
88 22 74
22 None 47
47 None 94
94 None None
74 59 51
59 48 98
48 54 14
54 None None
14 None None
98 14 86
14 None 33
33 None None
86 None 58
58 85 None
85 50 None
50 None 24
24 None 5
5 None None
51 6 58
6 None 50
50 None None
58 83 None
83 None None
Tree 9
23 47 52
47 None None
52 29 4
29 98 15
98 70 1
70 83 32
83 15 None
15 None None
32 32 None
32 None None
1 None None
15 None 70
70 None 45
45 None 53
53 None None
4 21 37
21 25 79
25 None None
79 None None
37 94 33
94 76 None
76 None None
33 64 76
64 None 28
28 66 None
66 None None
76 66 91
66 None None
91 None None
Tree 10
70 4 55
4 57 70
57 None 18
18 None None
70 None None
55 43 44
43 84 1
84 None 54
54 66 None
66 None None
1 34 None
34 None None
44 None 98
98 15 34
15 None None
34 None None
Tree 11
66 53 100
53 54 96
54 74 69
74 32 63
32 None None
63 65 None
65 19 15
19 None 58
58 57 None
57 None None
15 22 None
22 15 None
15 None None
69 8 None
8 None None
96 71 None
71 54 48
54 None 30
30 52 10
52 None None
10 None 20
20 None None
48 None None
100 23 25
23 None None
25 None None
Tree 12
69 23 20
23 5 83
5 17 22
17 82 25
82 None 44
44 None None
25 77 89
77 33 None
33 None None
89 4 3
4 None 83
83 0 None
0 None None
3 82 35
82 None None
35 None None
22 11 49
11 None 24
24 None None
49 32 None
32 None None
83 None None
20 None 39
39 20 32
20 40 55
40 None None
55 None 39
39 None None
32 None None
Tree 13
69 85 36
85 0 86
0 19 None
19 69 None
69 None None
86 6 28
6 None None
28 4 48
4 77 None
77 63 26
63 None None
26 None None
48 None None
36 9 63
9 None None
63 74 72
74 75 81
75 33 47
33 None None
47 78 34
78 None None
34 None None
81 35 19
35 7 None
7 None None
19 26 None
26 None None
72 None None
Tree 14
71 35 49
35 75 11
75 None 37
37 None None
11 None 6
6 12 79
12 None None
79 None None
49 47 95
47 75 79
75 None 69
69 26 None
26 64 None
64 None 11
11 87 1
87 None None
1 90 None
90 37 None
37 None None
79 None None
95 None None
Tree 15
56 40 52
40 18 79
18 83 11
83 None None
11 None 27
27 None None
79 76 None
76 None None
52 61 22
61 31 2
31 None None
2 46 None
46 85 None
85 None None
22 66 71
66 14 43
14 None 80
80 70 34
70 None 4
4 None None
34 79 None
79 None None
43 81 100
81 None None
100 None None
71 62 54
62 None None
54 64 17
64 None None
17 None None
Tree 16
25 91 7
91 66 81
66 59 30
59 37 51
37 None None
51 None None
30 92 None
92 73 57
73 None None
57 None 61
61 51 46
51 None None
46 None None
81 None None
7 None 63
63 None None
Tree 17
53 74 4
74 94 95
94 None 80
80 42 None
42 None None
95 None None
4 29 95
29 96 17
96 None 32
32 12 73
12 None None
73 None None
17 None None
95 88 None
88 35 42
35 None None
42 None None
Tree 18
40 42 85
42 33 1
33 None 40
40 92 None
92 56 None
56 None 7
7 None None
1 98 46
98 61 None
61 None None
46 86 70
86 42 None
42 None 1
1 16 None
16 None 16
16 None None
70 98 21
98 None 86
86 11 35
11 None None
35 None 19
19 None None
21 None 81
81 None 55
55 None None
85 None 90
90 None None
Tree 19
78 48 34
48 67 86
67 12 54
12 62 None
62 None None
54 None None
86 45 41
45 57 None
57 None 40
40 14 29
14 None 63
63 None None
29 62 37
62 87 None
87 None None
37 None None
41 27 94
27 None 57
57 None None
94 None 43
43 77 17
77 71 None
71 None None
17 83 None
83 12 None
12 None None
34 None 100
100 None 60
60 None None
Tree 20
44 46 84
46 31 56
31 67 None
67 70 53
70 47 72
47 None 16
16 None 53
53 4 None
4 None None
72 35 39
35 51 None
51 None None
39 None None
53 None None
56 66 86
66 None None
86 None None
84 27 32
27 None None
32 None 56
56 None None
Tree 21
23 87 64
87 13 53
13 None None
53 38 47
38 34 72
34 94 None
94 3 94
3 64 73
64 None None
73 56 35
56 46 68
46 90 None
90 None None
68 28 None
28 None None
35 None None
94 None None
72 None None
47 None None
64 5 None
5 23 53
23 87 9
87 77 None
77 None None
9 22 100
22 None None
100 None None
53 2 None
2 None None
Tree 22
29 82 38
82 72 17
72 None 6
6 None None
17 None 4
4 None 86
86 36 56
36 None None
56 None 27
27 None 91
91 None None
38 27 72
27 None 67
67 None 71
71 None None
72 100 None
100 None None
Tree 23
2 65 67
65 30 23
30 29 11
29 None None
11 93 None
93 43 19
43 None None
19 None None
23 None 46
46 26 54
26 None 73
73 100 None
100 None None
54 20 None
20 47 37
47 None 55
55 71 None
71 None None
37 20 98
20 None None
98 None None
67 None 45
45 72 23
72 87 61
87 None None
61 17 None
17 None None
23 None 26
26 None 81
81 None None
Tree 24
48 27 71
27 83 25
83 None 56
56 89 61
89 None 48
48 None 72
72 None 10
10 36 65
36 None None
65 None None
61 63 None
63 None None
25 None None
71 34 52
34 19 8
19 None None
8 None None
52 12 90
12 55 None
55 19 None
19 None 78
78 None None
90 20 24
20 None None
24 None None
Tree 25
1 91 35
91 48 18
48 28 None
28 82 None
82 None None
18 None 21
21 None 77
77 None None
35 95 67
95 67 None
67 73 None
73 None None
67 2 90
2 None None
90 None 44
44 85 None
85 None 86
86 2 15
2 None None
15 None None
Tree 26
94 27 10
27 98 85
98 None 5
5 37 None
37 23 None
23 17 5
17 None None
5 None None
85 None None
10 90 90
90 7 79
7 28 74
28 26 12
26 None None
12 None None
74 None None
79 None None
90 57 90
57 None 29
29 None None
90 24 95
24 None None
95 None None
Tree 27
38 54 12
54 None 68
68 11 29
11 None None
29 39 None
39 24 49
24 56 6
56 None None
6 53 None
53 None None
49 None None
12 78 25
78 4 36
4 None None
36 None None
25 None None
Tree 28
20 95 35
95 12 70
12 2 39
2 None 21
21 41 27
41 None None
27 None None
39 15 None
15 None None
70 80 26
80 None None
26 62 None
62 59 43
59 81 67
81 None None
67 18 21
18 None None
21 47 100
47 None None
100 68 2
68 None None
2 None None
43 43 None
43 None None
35 85 None
85 50 None
50 69 None
69 None 1
1 None None
Tree 29
30 41 68
41 43 1
43 None 40
40 49 43
49 None None
43 None None
1 56 49
56 86 51
86 None None
51 None None
49 None 78
78 None None
68 93 68
93 48 95
48 None None
95 None None
68 38 73
38 40 54
40 None None
54 None None
73 8 68
8 29 66
29 None None
66 None 16
16 None 85
85 57 None
57 None None
68 None 24
24 48 None
48 None 99
99 None None
