Tree 0
47 b
20 b
2 b
#
4 r
#
#
33 r
27 b
#
30 r
#
#
37 b
36 r
#
#
39 r
#
#
58 b
50 b
48 r
#
#
52 r
#
#
98 r
92 b
79 r
#
#
#
99 b
#
#
